UsuarioID,Nome,Email,Telefone,DataNascimento,Genero,CidadeID,CEP,Profissao,RendaFamiliar,Fumante,DataCadastro,DataUltimaAtualizacao,Ativo
25,Beatriz Vieira,lsampaio@example.com,71 9951-2174,1958-05-26,O,216,86235-939,Personal stylist,1594.24,0,2023-11-01 15:48:06.306466,2025-06-27 08:12:02.617485,1
26,Srta. Helena Lopes,mendesbruna@example.net,(041) 7563 6518,1976-03-10,F,7,85357140,Enfermeiro,3013.34,0,2024-09-05 12:23:39.533794,2025-03-27 06:41:32.412430,1
27,Heloísa Jesus,nmoura@example.net,+55 11 7047-0237,1952-06-12,M,203,96474341,Tecnólogo em desenvolvimento social,4512.64,0,2024-09-12 10:16:00.409750,2024-12-26 10:38:40.754748,1
28,Dr. Murilo Leão,maria-liz49@example.net,+55 71 2506 8212,1973-08-09,O,287,13773-251,Aeromoça,3220.93,1,2024-12-11 00:01:29.146111,2024-11-29 20:00:38.517477,1
29,Srta. Luara Lima,mpinto@example.org,+55 (011) 3581 3979,2006-02-20,F,265,55864656,Ourives,3444.91,0,2024-11-22 15:48:27.700378,2024-09-19 08:35:14.244700,1
30,Dr. Marcelo Cassiano,lorenzo21@example.com,(071) 1962 4524,1965-09-24,M,307,79387-625,Apontador de mão-de-obra,5275.96,0,2024-06-11 07:38:11.097988,2025-04-23 10:01:09.392050,1
31,Olívia Azevedo,camargoagatha@example.net,+55 (051) 5589 7235,1992-01-31,M,77,70613784,Técnico em edificações,2059.94,1,2024-05-25 05:50:15.322319,2025-07-09 03:39:59.223465,1
32,Bryan Borges,vvieira@example.com,0300-199-8855,1968-07-20,F,305,76290823,Técnico em rede,2670.48,1,2024-05-28 02:13:50.212236,2024-11-27 03:39:44.397668,1
33,Aylla Souza,pietra18@example.net,+55 (031) 2929-7702,1992-11-26,F,88,23599-677,Engenheiro cartográfico,6750.03,0,2023-09-20 17:10:39.437484,2024-10-22 05:21:13.973951,1
34,Sra. Caroline Novais,albuquerqueluana@example.org,21 9845 8554,1988-10-10,F,361,34363-942,Gari,2701.59,0,2024-09-17 17:06:36.929758,2025-07-03 22:31:42.966080,1
35,Lucas Rios,ocunha@example.net,+55 84 2054 8729,2003-03-20,F,158,06699009,Limpador de vidros,1581.82,0,2024-10-22 18:59:00.972863,2025-07-01 21:17:07.295341,1
36,Noah Fogaça,joana31@example.com,+55 61 2989 6733,1982-12-18,F,340,60053490,Engenheiro de alimentos,2133.08,0,2025-02-24 06:28:35.026388,2025-07-27 16:41:53.464910,1
37,Mariana Silveira,gabrielcavalcante@example.net,21 3706 3230,1992-06-17,M,23,02094-723,Cancerologista ou Oncologista,1864.8,0,2025-05-31 04:14:53.172939,2025-02-13 00:27:30.608695,1
38,João Pedro Peixoto,wfonseca@example.com,+55 (011) 1719 5576,1960-10-27,M,194,16627160,Deputado,3563.8,0,2024-11-26 06:19:36.237530,2024-12-17 19:53:46.713387,1
39,Luiz Gustavo Caldeira,kamillycaldeira@example.com,+55 (071) 2951-6621,1991-04-12,M,336,82129461,Quitandeiro,1904.6,0,2025-04-21 18:23:02.986293,2024-11-16 19:32:18.769624,1
40,Sofia Cunha,juliana37@example.net,(084) 6748 6374,1946-04-26,F,109,32174-050,Zootecnista,3413.58,1,2024-03-03 22:56:25.439141,2025-06-13 14:30:15.710173,1
41,Rodrigo Câmara,borgesotavio@example.net,(084) 0303-6638,1948-08-04,M,385,02858-774,Mecânico,2063.1,1,2023-08-01 07:50:48.931977,2025-04-10 07:45:20.415623,1
42,Luiz Fernando Novais,goncalvessofia@example.org,(011) 0268-7175,1963-11-22,F,298,61599-734,Gravurista,1031.03,0,2025-06-06 23:13:41.969549,2025-07-13 16:00:20.931087,1
43,Sr. João Lucas Oliveira,camargooliver@example.net,21 4053-1886,1981-09-10,F,277,28923038,Médico cirurgião,3474.86,0,2023-10-17 16:06:56.009871,2024-08-31 23:38:21.208606,1
44,Paulo Novais,monteiroeduardo@example.com,(071) 8522 8876,1944-11-07,F,168,27321387,Profissional de educação física,3210.66,1,2025-03-02 03:05:55.508012,2024-10-31 14:28:20.120148,1
45,Amanda Pereira,mferreira@example.net,+55 71 7274 6003,1955-08-25,M,230,93065-592,Tecnólogo em irrigação e drenagem,3861.76,0,2024-07-20 23:42:10.037544,2025-04-12 16:09:27.007824,1
46,Juliana Alves,iangomes@example.org,(021) 1058 8287,1959-04-08,F,282,25126748,Necromaquiador,2129.21,0,2023-08-06 06:13:33.043568,2025-06-11 18:01:36.927182,1
47,João Gabriel Sampaio,lauracampos@example.org,+55 (041) 3517 1994,1971-05-23,M,227,17843837,Regente,2018.74,0,2025-03-13 23:52:25.534771,2024-11-29 02:23:42.773869,1
48,Lucca Ferreira,melosara@example.com,0300 745 0097,1965-03-18,F,332,76471405,Neurocirurgião,3643.62,0,2023-11-14 20:21:55.514657,2024-09-29 05:25:55.105711,1
49,Fernando Casa Grande,brayan04@example.net,+55 (071) 6440 7125,2004-03-03,M,205,71973-541,Sargento,6370.99,0,2024-04-08 07:21:57.640743,2025-05-22 00:30:36.209941,1
50,Maria Liz Azevedo,da-cruzmaria-laura@example.net,+55 31 4611-5552,1962-07-03,M,97,00524367,Pescador,2997.65,0,2025-02-07 21:01:08.177869,2024-08-31 16:53:53.646151,1
51,Arthur Borges,eduardasouza@example.com,+55 71 0278-2015,1982-02-18,F,104,47985-162,Editor de mesa de corte,3685.98,0,2023-09-18 05:32:03.073171,2025-04-07 23:47:31.476670,1
52,Dra. Helena Garcia,pietra58@example.org,81 1130-8395,2001-07-14,M,3,83117-470,Figurante,2538.19,1,2024-01-13 07:25:33.011479,2025-03-09 04:24:13.049295,1
53,Mirella Fernandes,laura39@example.net,+55 (071) 1169-5152,1959-10-25,M,140,26552309,Terapeuta floral,1377.72,1,2025-06-04 14:59:53.039308,2025-01-28 00:42:40.252928,1
54,Léo das Neves,cassianomaria-luisa@example.com,+55 (011) 3450-8960,1978-11-24,F,359,14773779,Escoteiro,4835.38,1,2025-01-09 06:46:48.443221,2024-12-08 23:50:07.077917,1
55,Sra. Antonella Aragão,leandrocasa-grande@example.com,(081) 1376-6708,1988-08-05,F,384,55716007,Separador,4694.78,1,2023-12-20 23:33:37.876966,2025-02-20 12:47:02.283206,1
56,Emanuel Sá,heitor74@example.org,+55 (081) 6060 5064,1965-08-03,F,97,47956470,Técnico em desporto,4253.03,0,2025-04-12 11:48:05.699620,2025-04-18 21:29:43.851455,1
57,Ana Julia Rocha,aylanovais@example.org,+55 (041) 5118 3284,1960-08-20,F,481,91170-575,Tecnólogo em desenvolvimento social,2721.74,0,2025-04-03 01:47:35.564324,2024-08-01 12:57:25.288478,1
58,João Gabriel Macedo,marina62@example.org,+55 (031) 1440 7904,1971-03-31,F,240,80663890,Penhorista,4017.95,0,2023-10-13 09:53:58.145039,2024-10-18 22:04:21.516514,1
59,Mariana Mendonça,marcos-viniciusguerra@example.org,+55 (081) 8935-3173,1988-02-21,M,452,50963917,Técnico em documentação,4660.51,0,2025-02-03 12:32:40.222261,2025-05-11 06:57:39.346725,1
60,Melina Leão,sampaiovitoria@example.com,+55 (011) 4615-5224,1981-10-21,M,337,55282-725,Lutador de luta livre,6701.45,0,2024-02-25 08:12:03.135267,2025-06-07 07:19:43.499474,1
61,Henrique Sá,vicentefogaca@example.com,+55 21 1341 4812,1974-06-26,M,344,62390-523,Datilógrafo,4886.65,0,2025-06-07 15:34:52.924031,2024-09-21 12:59:53.899687,1
62,Bruna Ferreira,costelatheodoro@example.com,84 8926 5835,1981-05-05,O,45,86302796,Geólogo,3077.62,1,2024-07-18 01:07:07.907574,2025-05-29 17:38:04.272942,1
63,Brenda da Paz,gabrieldias@example.com,+55 (051) 7383-9688,1996-02-29,F,107,51152075,Marcador de luz,1549.79,0,2023-11-17 07:58:59.269090,2025-04-28 14:09:14.021600,1
64,Raquel Moura,cauapereira@example.org,(061) 6069 4568,1988-05-17,M,5,66542531,Esgrimista,3222.23,0,2024-01-31 21:49:21.848152,2025-03-04 22:03:04.345645,1
65,Lorena Aparecida,vargasmaria-isis@example.net,+55 84 7093-1957,1970-10-09,F,342,05840850,Atuário,3389.0,0,2023-12-23 12:51:12.310189,2025-02-28 17:42:51.063940,1
66,Miguel Peixoto,qmoreira@example.net,0300 965 9123,1951-02-18,O,163,17358-764,Geradorista,4249.32,0,2024-05-13 08:21:42.402332,2025-01-29 01:38:23.063710,1
67,André Costela,caleb96@example.net,0300-449-4930,1992-07-22,M,378,94852-591,Engenheiro metalúrgico,5866.1,1,2025-02-09 06:27:34.633015,2025-06-15 16:18:04.467924,1
68,Heitor Vargas,eloa98@example.com,(061) 8457-8449,1953-07-04,F,158,45809-397,Prefeito,2842.46,0,2024-05-28 00:18:36.396936,2024-10-01 19:57:41.065905,1
69,José Miguel da Rocha,agathasiqueira@example.org,+55 (081) 2307 7146,1961-06-29,F,398,85307-503,Açougueiro,8522.74,0,2024-08-19 16:10:00.460907,2025-06-29 06:59:55.718482,1
70,Sr. André Monteiro,henriquemarques@example.com,(071) 0286 0118,1972-04-07,F,65,85510-288,Físico nuclear,1236.89,1,2025-04-04 12:40:06.863664,2025-06-10 00:42:14.810266,1
71,Sra. Emanuella Cardoso,bellarezende@example.org,+55 51 7691 0818,1971-06-07,M,84,72757325,Dogueiro,3676.33,0,2024-08-15 08:53:28.978647,2025-01-09 16:10:16.785367,1
72,Yasmin Santos,gguerra@example.org,0300-813-7801,1999-09-01,F,159,34297817,Caça-talentos/Olheiro,1999.67,0,2024-11-08 23:11:35.906266,2025-07-15 03:30:35.204617,1
73,Theodoro Novais,costelapedro@example.net,+55 61 0470 8444,1958-10-01,O,194,50461-231,Agricultor,1148.7,0,2023-11-05 14:09:51.674744,2024-11-18 07:57:16.863888,1
74,Maria Barbosa,bcorreia@example.com,+55 61 5325-6721,1975-01-14,F,165,31900064,Cozinheira,2694.89,0,2024-02-05 02:55:35.725754,2024-11-13 17:24:54.678224,1
75,Ana Cecília Lopes,mendesjoao-gabriel@example.org,+55 (084) 9511 0945,1944-10-31,F,368,30785501,Urbanista,1438.58,0,2025-04-07 12:43:40.523839,2025-02-05 20:42:37.082235,1
76,Raul Barbosa,oribeiro@example.net,+55 81 6582 1655,1952-12-14,O,48,43588184,Gandula,2749.81,1,2023-10-26 04:15:26.149566,2024-12-26 10:56:47.656656,1
77,Dr. Nathan Santos,antonio24@example.org,+55 31 4620 0088,1947-05-16,F,166,93330-195,Agente de defesa sanitária animal,3033.23,1,2024-05-08 15:46:02.084769,2025-02-07 00:10:17.611041,1
78,Maria Vitória da Rocha,luigisousa@example.com,71 8764-1437,1971-12-11,M,408,50836625,Diagramador,5214.88,0,2025-01-20 17:07:48.995915,2024-12-26 20:19:54.559162,1
79,Nathan Almeida,salessabrina@example.net,(031) 2228-5569,2000-03-02,F,34,33645-821,Prensista,1402.77,0,2025-05-31 15:28:30.705831,2025-03-04 07:40:15.622439,1
80,Sr. Raul Sales,davijesus@example.net,+55 (071) 1493-5488,1965-04-02,F,471,86578-344,Meredeira,4694.86,1,2023-10-26 11:42:29.949297,2024-11-05 09:29:56.450133,1
81,Sr. Pedro Henrique Caldeira,leosiqueira@example.org,+55 11 0732 7619,1992-09-10,M,494,93835223,Caldeireiro,3130.79,0,2024-06-11 17:46:01.902125,2025-03-24 23:07:36.106342,1
82,Pedro Henrique Pastor,tdias@example.org,0500-037-7731,1947-09-25,F,46,07123899,Mestre-de-obras,4986.18,1,2024-06-05 10:37:14.153878,2024-11-21 08:15:42.145586,1
83,Valentina Barros,nogueiraguilherme@example.net,+55 41 0253 7593,1987-02-27,O,136,39468885,Webdesigner,2402.16,0,2025-05-02 00:55:33.363157,2025-06-15 19:22:24.766392,1
84,Luana Souza,amanda42@example.com,+55 (084) 5851-5149,1997-02-19,O,179,69047-928,Tecnólogo em negócios imobiliários,1531.31,0,2023-12-25 00:12:56.541765,2025-02-27 00:04:44.061285,1
85,Sr. Lucas Gabriel Vasconcelos,leonardo02@example.net,+55 84 0074-6723,1974-08-13,F,374,25200910,Reumatologista,1621.73,0,2024-12-03 09:15:28.868991,2025-03-28 10:52:42.389651,1
86,Breno Moraes,samuel50@example.net,0900 798 8118,1990-04-18,M,282,54354-128,Paramédico,1562.58,0,2025-02-20 05:11:50.591603,2024-08-02 21:52:14.631266,1
87,Bruna Moura,luna65@example.net,21 2107-6059,1990-04-16,O,303,07669-411,Radialista programador,3785.4,0,2025-02-26 22:37:41.043928,2024-11-03 06:42:02.137518,1
88,Evelyn Vasconcelos,camposolivia@example.com,21 5870 4253,1994-03-17,F,365,05061-991,Tecnólogo em negócios imobiliários,6238.29,0,2024-12-07 12:21:42.534908,2025-02-18 08:46:11.085601,1
89,Dr. Diogo da Costa,fernandeslara@example.com,(031) 7696-7325,1995-12-14,M,59,18479-619,Estofador,2247.39,0,2025-05-25 09:26:54.644125,2025-06-26 04:36:40.327286,1
90,Diogo da Cunha,pimentaalice@example.org,+55 81 9660-7028,1957-05-02,O,404,14430-177,Ginecologista,4082.92,0,2024-04-04 07:14:59.442005,2024-10-16 14:05:06.716303,1
91,Erick Pereira,maya53@example.net,(071) 3723-8057,1945-10-13,F,336,26973-229,Químico,1391.7,0,2023-09-19 09:40:37.589785,2024-09-07 07:43:10.075196,1
92,Breno Cavalcanti,correiamaria-helena@example.org,+55 61 2166 2966,1973-02-04,F,274,99301239,Polidor de produção,3262.21,0,2025-01-25 04:48:40.775430,2024-09-27 22:22:46.735444,1
93,Sabrina Martins,ana-livia24@example.com,41 2734-2890,1974-11-21,F,439,04297-453,Médico geneticista,4164.21,0,2023-11-16 02:47:22.695481,2024-08-21 19:50:15.623705,1
94,Melissa Rodrigues,rodriguesdaniel@example.net,+55 71 2685-4460,1944-08-31,M,333,16113-641,Mototaxista,1445.11,1,2024-08-30 13:47:57.230862,2025-06-08 15:27:44.899908,1
95,Luna Pires,helenabarbosa@example.net,71 8895 8993,1951-01-23,M,97,08029999,Odontopediatra,2692.05,1,2023-08-13 23:19:42.780856,2024-09-01 16:13:13.080932,1
96,Sr. Pedro Lucas Azevedo,alvesmurilo@example.com,+55 (011) 1913-3044,1951-12-25,M,204,24790-891,Terapeuta ocupacional,4263.98,1,2025-05-31 07:29:06.244934,2025-02-11 12:16:07.961896,1
97,Melina Pires,ndias@example.com,+55 81 1795 3485,1978-07-27,F,234,16223815,Ginecologista,687.54,0,2024-06-11 17:21:00.933640,2025-03-08 07:58:49.810447,1
98,João Guilherme Pastor,luiz-fernandoandrade@example.net,84 4504 4624,1949-02-15,M,27,11303830,Cinegrafista,5812.27,1,2025-05-22 21:44:47.828774,2024-10-16 13:01:05.056441,1
99,Luiz Gustavo Montenegro,rodrigomendes@example.com,+55 (041) 4416 3166,1961-04-02,M,477,08473216,Astrólogo,3557.59,0,2025-03-23 08:40:00.539380,2024-08-04 20:52:51.486020,1
100,Leonardo Martins,llopes@example.net,(011) 1700 0337,1949-12-03,M,64,43164-482,Corredor de atletismo,4265.71,0,2024-11-26 09:30:50.097288,2025-01-16 10:39:20.078694,1
101,Ana Carolina Araújo,lpeixoto@example.org,0900 047 4212,1954-10-03,F,332,27885414,Ator,2425.13,0,2023-11-18 12:47:38.861606,2025-02-20 09:48:38.007475,1
102,Dr. Breno Ramos,ravi-lucca38@example.com,+55 (061) 6605 8085,2002-01-05,O,241,37545370,Educador,1259.71,1,2025-01-27 04:01:23.784491,2024-08-16 14:31:38.728280,1
103,Thiago Gomes,nunestheodoro@example.org,84 9028 9170,2001-11-27,M,11,37227553,Representante comercial,3893.37,0,2025-02-21 20:03:18.723507,2024-11-23 03:31:16.598529,1
104,Ana Cecília Machado,piresvitoria@example.org,21 8807-2420,1975-07-27,M,458,34024-904,Militar da Aeronáutica,2860.37,0,2023-12-28 00:39:36.415088,2025-01-23 12:10:49.584543,1
105,Esther Duarte,pintoravi@example.com,(081) 5308-7722,1969-03-22,F,413,82221306,Gastroenterologista,3029.21,0,2023-10-26 13:26:51.645642,2024-09-16 11:51:54.185296,1
106,Olívia Montenegro,alanarezende@example.net,41 9667 3495,1957-10-25,F,248,39621021,Pára-quedista,5134.84,0,2024-03-10 19:26:36.980322,2024-11-21 09:44:14.615840,1
107,Bento Machado,ana-beatrizabreu@example.com,41 6015-0085,1962-09-23,M,110,00141805,Astrônomo,4363.51,1,2025-03-20 05:52:29.132354,2024-09-26 01:18:00.820502,1
108,Luigi Silva,lrocha@example.net,84 5491-4651,1980-01-20,F,61,72059671,Moldureiro,7790.18,0,2024-08-25 12:24:11.838919,2025-07-16 19:39:28.648099,1
109,Thiago Ramos,vitor-hugojesus@example.org,(021) 7921-2719,2002-09-24,M,172,20533015,Profissional de educação física,3219.33,0,2025-01-07 12:38:58.910506,2024-10-11 10:06:22.670919,1
110,Asafe da Cruz,ana-clararocha@example.net,(051) 2617 1867,1952-10-20,M,122,89908678,Cabo,2109.9,0,2023-09-07 04:52:38.209515,2024-09-18 01:48:42.088845,1
111,Sra. Maysa Moura,renanda-cunha@example.org,+55 (081) 9683 7201,2006-02-04,F,241,37354-602,Transportador,2712.95,0,2024-07-19 15:18:43.305139,2025-03-27 19:01:15.503737,1
112,Eduarda Fonseca,gfreitas@example.net,(021) 4854-7133,1957-02-06,M,484,35338387,Apresentador,3669.58,0,2025-07-29 12:40:07.900470,2024-09-04 05:51:30.061532,1
113,Dr. Mathias Jesus,nlopes@example.com,+55 84 5819 6348,1990-08-07,O,273,21436-748,Radiologista,4953.89,0,2024-12-04 16:45:14.581354,2025-04-26 16:02:17.604736,1
114,Sr. Lucas Gabriel Azevedo,montenegroluara@example.com,+55 31 3004 3625,1992-04-14,M,439,58748-574,Investigador particular,1431.51,0,2024-12-11 21:38:14.186959,2024-12-21 22:47:28.881436,1
115,Sr. Matheus da Paz,luiz-fernando43@example.net,61 9153 9305,1992-04-14,F,307,25799-976,Juiz de direito,2993.71,0,2023-12-27 23:35:50.022179,2025-06-25 06:45:40.924074,1
116,Dom Farias,hadassapinto@example.org,84 1876-2404,1953-06-24,F,228,09048978,Produtor de audio visual,6665.97,1,2025-04-01 13:19:08.598641,2024-10-01 12:48:48.790641,1
117,Diego Ferreira,caroline07@example.com,(011) 6101-0619,2004-11-05,M,414,03478309,Locutor,2643.6,1,2024-06-01 15:22:20.000392,2024-09-15 02:03:17.575170,1
118,Matteo Cardoso,carolinaalmeida@example.net,(084) 8161 8932,1967-10-02,F,225,12181437,Acupunturista,4748.13,0,2024-04-13 11:23:02.945631,2024-08-02 11:28:27.009600,1
119,Antonella das Neves,luan88@example.net,0500 865 3661,1970-10-19,M,428,29163-230,Dublador,3814.48,0,2025-05-26 08:48:34.195056,2025-03-22 08:20:14.401108,1
120,Maria Flor Ramos,yago70@example.org,(031) 5018 1878,1966-06-22,O,136,03188907,Filósofo,4807.49,0,2024-12-27 10:36:03.327028,2025-07-29 13:52:41.453309,1
121,Sr. Vinicius Borges,bpereira@example.com,21 0374 3612,1973-05-08,M,64,25287608,Economista,1988.47,0,2023-09-03 02:07:27.184931,2024-10-27 12:55:11.907713,1
122,Mariana Moraes,otto59@example.org,(081) 1426 1891,1956-06-23,M,417,72232-933,Nutrologista,1992.81,0,2025-02-20 12:59:45.754687,2024-12-27 19:52:42.318753,1
123,Sr. Luiz Miguel das Neves,vguerra@example.org,+55 81 4152 1219,1950-09-11,M,277,82653632,Lutador de luta livre,3011.33,0,2024-11-27 14:22:12.510485,2024-09-14 01:26:29.480879,1
124,Heitor Fernandes,maria-cecilia18@example.net,+55 41 3873-0060,1996-11-27,O,439,33875-237,Mensageiro,1385.6,1,2023-11-15 02:39:10.987164,2025-06-30 19:38:02.956275,1
125,Evelyn Câmara,anthonyandrade@example.net,+55 41 2897-9573,1968-08-05,F,468,66143-026,Estoquista,2604.85,0,2023-09-22 23:22:44.821643,2025-04-02 06:35:28.815565,1
126,Eduardo Barbosa,yan28@example.net,(061) 7564-1089,1988-02-05,F,27,08140-641,Ferreiro,3382.73,0,2025-05-27 17:01:09.197134,2025-05-24 11:49:06.036620,1
127,Carlos Eduardo Montenegro,rcunha@example.com,(041) 5207 2594,1982-01-26,M,239,16525784,Major,7275.86,0,2024-12-27 14:42:18.423438,2025-03-08 04:36:08.227795,1
128,Valentina Andrade,yrios@example.net,+55 (011) 3764 9413,1954-04-07,F,180,81072096,Físico,3645.9,0,2024-04-07 06:42:29.103944,2024-09-17 22:40:37.604323,1
129,Maitê Vargas,clopes@example.net,+55 41 0984-5522,1946-09-26,M,296,56688782,Engenheiro petroquímico,4074.95,0,2023-08-08 13:09:21.984153,2025-06-30 03:53:40.905603,1
130,Caroline Peixoto,maria-alice06@example.net,31 5494 2285,1965-03-04,F,384,24185-236,Militar da Aeronáutica,5336.03,0,2025-03-05 10:30:00.499104,2025-06-04 09:08:34.421814,1
131,Daniela Castro,marquesaugusto@example.com,+55 11 4136 3255,1953-05-09,M,131,38382036,Guincheiro,1840.28,1,2023-10-19 16:30:51.327524,2024-08-23 04:59:28.896776,1
132,Enzo Silveira,barrosvicente@example.net,51 6133 3305,1970-04-10,M,265,37919-046,Cadista,2744.79,0,2024-08-04 23:48:22.030279,2024-10-31 12:54:26.591710,1
133,Ana Clara Jesus,fbarros@example.org,(011) 1311-1372,1995-05-07,M,338,84348-830,Marinheiro,10023.69,0,2024-09-28 12:31:35.883399,2025-03-21 09:28:28.034232,1
134,Sr. Pedro Miguel Pimenta,sabrinada-luz@example.net,+55 (084) 6790-8213,1996-12-01,F,67,55095748,Corregedor de justiça,2865.33,0,2023-10-08 18:22:18.308065,2024-08-20 14:33:31.265345,1
135,Pietro da Conceição,vcaldeira@example.com,31 2211 1189,1957-06-04,F,395,59320-103,Comerciante,5209.38,0,2024-05-14 18:16:01.193416,2025-02-06 06:11:32.853693,1
136,Isabella das Neves,afogaca@example.com,+55 (041) 9830 8799,1996-04-09,M,287,64428283,Guia turistico,4826.46,1,2025-03-04 22:51:06.325772,2024-09-18 06:19:06.086495,1
137,Evelyn Freitas,alexandre51@example.net,+55 11 3309-1389,1993-05-29,F,476,04769363,Podólogo,1423.6,0,2025-05-12 14:19:09.900076,2025-05-13 03:38:16.985883,1
138,Maysa Martins,ralmeida@example.org,+55 21 9860 2082,1958-04-13,F,158,09284116,Saxofonista,3481.57,0,2024-06-21 08:05:48.968849,2024-11-10 17:47:17.757083,1
139,Mateus Montenegro,qmendonca@example.com,84 9681-8143,1949-12-29,F,55,65988-805,Figurinista,3207.91,0,2024-10-04 12:36:48.540602,2024-10-01 19:40:29.863515,1
140,Mariah Castro,luiz-miguel34@example.net,+55 (084) 5862-8358,1948-11-09,M,241,09811-383,Terapeuta floral,3515.65,0,2023-11-05 10:32:33.554271,2024-11-03 11:12:50.893035,1
141,Davi Miguel da Cunha,emillypimenta@example.net,84 0588-7796,1973-12-19,M,45,21605179,Representante comercial,2044.57,1,2024-01-27 05:17:01.955255,2024-09-04 14:58:00.630223,1
